Date,NIKKEI225
1950-01-03,108.75285714285714
1950-01-04,108.56
1950-01-05,105.54
1950-01-06,102.64
1950-01-07,102.68666666666667
1950-01-08,102.73333333333333
1950-01-09,102.78
1950-01-10,101.36
1950-01-11,99.36
1950-01-12,97.48
1950-01-13,95.04
1950-01-14,95.42666666666668
1950-01-15,95.81333333333333
1950-01-16,96.2
1950-01-17,95.27
1950-01-18,97.15
1950-01-19,98.9
1950-01-20,98.05
1950-01-21,97.73333333333333
1950-01-22,97.41666666666666
1950-01-23,97.1
1950-01-24,97.12
1950-01-25,96.51
1950-01-26,95.45
1950-01-27,94.85
1950-01-28,94.28
1950-01-29,93.71
1950-01-30,93.14
1950-01-31,92.54
1950-02-01,92.56
1950-02-02,95.96
1950-02-03,96.11
1950-02-04,97.97666666666666
1950-02-05,99.84333333333333
1950-02-06,101.71
1950-02-07,105.06
1950-02-08,107.25
1950-02-09,107.01
1950-02-10,106.54
1950-02-11,108.67333333333333
1950-02-12,110.80666666666667
1950-02-13,112.94
1950-02-14,113.4
1950-02-15,110.53
1950-02-16,109.6
1950-02-17,110.25
1950-02-18,110.07666666666667
1950-02-19,109.90333333333334
1950-02-20,109.73
1950-02-21,108.38
1950-02-22,106.62
1950-02-23,106.83
1950-02-24,107.01
1950-02-25,107.43
1950-02-26,107.85
1950-02-27,108.27
1950-02-28,107.44
1950-03-01,108.19
1950-03-02,108.15
1950-03-03,106.65
1950-03-04,105.91000000000001
1950-03-05,105.17
1950-03-06,104.43
1950-03-07,102.83
1950-03-08,102.93
1950-03-09,101.71
1950-03-10,101.23
1950-03-11,101.69
1950-03-12,102.15
1950-03-13,102.61
1950-03-14,102.21
1950-03-15,101.52
1950-03-16,101.07
1950-03-17,101.12
1950-03-18,100.95
1950-03-19,100.78
1950-03-20,100.61
1950-03-21,100.225
1950-03-22,99.84
1950-03-23,99.22
1950-03-24,99.02
1950-03-25,99.31333333333333
1950-03-26,99.60666666666667
1950-03-27,99.9
1950-03-28,99.3
1950-03-29,98.51
1950-03-30,97.78
1950-03-31,97.61
1950-04-01,96.69333333333333
1950-04-02,95.77666666666667
1950-04-03,94.86
1950-04-04,93.85
1950-04-05,93.95
1950-04-06,93.37
1950-04-07,92.39
1950-04-08,91.91666666666667
1950-04-09,91.44333333333333
1950-04-10,90.97
1950-04-11,88.7
1950-04-12,91.69
1950-04-13,93.0
1950-04-14,95.52
1950-04-15,94.69333333333333
1950-04-16,93.86666666666667
1950-04-17,93.04
1950-04-18,93.4
1950-04-19,93.23
1950-04-20,92.83
1950-04-21,92.56
1950-04-22,92.57000000000001
1950-04-23,92.58
1950-04-24,92.59
1950-04-25,95.14
1950-04-26,96.96
1950-04-27,96.67
1950-04-28,99.31
1950-04-29,100.8
1950-04-30,102.29
1950-05-01,103.78
1950-05-02,103.01
1950-05-03,102.75
1950-05-04,102.49
1950-05-05,101.9325
1950-05-06,101.375
1950-05-07,100.8175
1950-05-08,100.26
1950-05-09,98.72
1950-05-10,99.03
1950-05-11,98.55
1950-05-12,97.23
1950-05-13,96.83666666666667
1950-05-14,96.44333333333333
1950-05-15,96.05
1950-05-16,95.16
1950-05-17,96.1
1950-05-18,96.02
1950-05-19,97.72
1950-05-20,97.43666666666667
1950-05-21,97.15333333333334
1950-05-22,96.87
1950-05-23,95.78
1950-05-24,95.58
1950-05-25,94.87
1950-05-26,94.21
1950-05-27,94.00999999999999
1950-05-28,93.81
1950-05-29,93.61
1950-05-30,93.97
1950-05-31,94.22
1950-06-01,94.22
1950-06-02,93.94
1950-06-03,94.18666666666667
1950-06-04,94.43333333333334
1950-06-05,94.68
1950-06-06,94.12
1950-06-07,93.39
1950-06-08,92.74
1950-06-09,92.28
1950-06-10,92.01
1950-06-11,91.74
1950-06-12,91.47
1950-06-13,90.22
1950-06-14,89.08
1950-06-15,89.22
1950-06-16,89.86
1950-06-17,89.54
1950-06-18,89.22
1950-06-19,88.9
1950-06-20,88.9
1950-06-21,89.89
1950-06-22,90.03
1950-06-23,90.59
1950-06-24,91.31
1950-06-25,92.03
1950-06-26,92.75
1950-06-27,90.84
1950-06-28,90.16
1950-06-29,88.95
1950-06-30,86.17
1950-07-01,85.99666666666667
1950-07-02,85.82333333333334
1950-07-03,85.65
1950-07-04,85.84
1950-07-05,85.41
1950-07-06,85.25
1950-07-07,85.6
1950-07-08,85.74666666666667
1950-07-09,85.89333333333333
1950-07-10,86.04
1950-07-11,89.26
1950-07-12,93.54
1950-07-13,94.8
1950-07-14,98.4
1950-07-15,102.04666666666667
1950-07-16,105.69333333333334
1950-07-17,109.34
1950-07-18,104.86
1950-07-19,103.21
1950-07-20,103.14
1950-07-21,101.58
1950-07-22,102.10666666666667
1950-07-23,102.63333333333333
1950-07-24,103.16
1950-07-25,103.07
1950-07-26,102.23
1950-07-27,100.88
1950-07-28,100.24
1950-07-29,99.35666666666667
1950-07-30,98.47333333333333
1950-07-31,97.59
1950-08-01,99.51
1950-08-02,99.11
1950-08-03,99.1
1950-08-04,100.52
1950-08-05,101.39999999999999
1950-08-06,102.28
1950-08-07,103.16
1950-08-08,103.49
1950-08-09,103.04
1950-08-10,103.78
1950-08-11,105.26
1950-08-12,105.28333333333333
1950-08-13,105.30666666666667
1950-08-14,105.33
1950-08-15,106.24
1950-08-16,108.02
1950-08-17,110.15
1950-08-18,112.58
1950-08-19,113.38333333333333
1950-08-20,114.18666666666667
1950-08-21,114.99
1950-08-22,114.82
1950-08-23,114.36
1950-08-24,112.44
1950-08-25,111.39
1950-08-26,111.61333333333333
1950-08-27,111.83666666666667
1950-08-28,112.06
1950-08-29,113.24
